t Fq Fqsim h hest
12.300000 0.322579 0.187653 0.459922 0.702109 
12.400000 0.307846 0.174720 0.475062 0.726171 
12.500000 0.293337 0.162282 0.490573 0.750854 
12.600000 0.279073 0.150354 0.506461 0.776169 
12.700000 0.265076 0.138946 0.522731 0.802127 
12.800000 0.251367 0.128066 0.539391 0.828739 
12.900000 0.237966 0.117720 0.556445 0.856017 
13.000000 0.224890 0.107912 0.573901 0.883972 
13.100000 0.212158 0.098642 0.591765 0.912615 
13.200000 0.199786 0.089907 0.610042 0.941958 
13.300000 0.187787 0.081702 0.628739 0.972012 
13.400000 0.176176 0.074021 0.647863 1.002788 
13.500000 0.164963 0.066853 0.667419 1.034300 
13.600000 0.154159 0.060187 0.687416 1.066558 
13.700000 0.143771 0.054010 0.707858 1.099575 
13.800000 0.133807 0.048304 0.728753 1.133363 
13.900000 0.124270 0.043054 0.750107 1.167933 
14.000000 0.115164 0.038241 0.771926 1.203299 
14.100000 0.106491 0.033844 0.794219 1.239473 
14.200000 0.098249 0.029844 0.816991 1.276466 
14.300000 0.090436 0.026218 0.840249 1.314293 
14.400000 0.083049 0.022945 0.864000 1.352965 
14.500000 0.076083 0.020002 0.888251 1.392496 
14.600000 0.069531 0.017367 0.913009 1.432898 
14.700000 0.063384 0.015018 0.938281 1.474184 
14.800000 0.057633 0.012932 0.964075 1.516368 
14.900000 0.052268 0.011089 0.990396 1.559463 
15.000000 0.047276 0.009467 1.017253 1.603482 
