t Fq Fqsim h hest
12.300000 0.781922 0.801498 0.020000 0.017990 
12.400000 0.780360 0.800057 0.020000 0.017990 
12.500000 0.778801 0.798619 0.020000 0.017990 
12.600000 0.777245 0.797184 0.020000 0.017990 
12.700000 0.775692 0.795751 0.020000 0.017990 
12.800000 0.774142 0.794321 0.020000 0.017990 
12.900000 0.772595 0.792893 0.020000 0.017990 
13.000000 0.771052 0.791468 0.020000 0.017990 
13.100000 0.769511 0.790046 0.020000 0.017990 
13.200000 0.767974 0.788626 0.020000 0.017990 
13.300000 0.766439 0.787208 0.020000 0.017990 
13.400000 0.764908 0.785793 0.020000 0.017990 
13.500000 0.763379 0.784381 0.020000 0.017990 
13.600000 0.761854 0.782971 0.020000 0.017990 
13.700000 0.760332 0.781564 0.020000 0.017990 
13.800000 0.758813 0.780159 0.020000 0.017990 
13.900000 0.757297 0.778757 0.020000 0.017990 
14.000000 0.755784 0.777357 0.020000 0.017990 
14.100000 0.754274 0.775960 0.020000 0.017990 
14.200000 0.752767 0.774565 0.020000 0.017990 
14.300000 0.751263 0.773173 0.020000 0.017990 
14.400000 0.749762 0.771783 0.020000 0.017990 
14.500000 0.748264 0.770396 0.020000 0.017990 
14.600000 0.746769 0.769012 0.020000 0.017990 
14.700000 0.745276 0.767629 0.020000 0.017990 
14.800000 0.743787 0.766250 0.020000 0.017990 
14.900000 0.742301 0.764873 0.020000 0.017990 
15.000000 0.740818 0.763498 0.020000 0.017990 
