t Fq f h
12.135536 0.667896 0.089011 0.133270 
12.149449 0.666665 0.089719 0.134579 
12.163363 0.665424 0.090432 0.135902 
12.177277 0.664173 0.091149 0.137237 
12.191191 0.662912 0.091871 0.138586 
12.205105 0.661642 0.092596 0.139949 
12.219019 0.660361 0.093326 0.141325 
12.232933 0.659070 0.094060 0.142716 
12.246847 0.657769 0.094798 0.144120 
12.260761 0.656458 0.095540 0.145539 
12.274675 0.655137 0.096287 0.146972 
12.288589 0.653806 0.097038 0.148420 
12.302503 0.652464 0.097792 0.149882 
12.316416 0.651111 0.098551 0.151359 
12.330330 0.649749 0.099314 0.152850 
12.344244 0.648375 0.100081 0.154357 
12.358158 0.646991 0.100853 0.155879 
12.372072 0.645597 0.101628 0.157417 
12.385986 0.644192 0.102407 0.158970 
12.399900 0.642776 0.103190 0.160539 
12.413814 0.641349 0.103978 0.162123 
12.427728 0.639911 0.104769 0.163724 
12.441642 0.638463 0.105564 0.165341 
12.455556 0.637003 0.106363 0.166974 
12.469469 0.635533 0.107166 0.168624 
12.483383 0.634051 0.107973 0.170291 
12.497297 0.632558 0.108784 0.171974 
12.511211 0.631054 0.109598 0.173675 
12.525125 0.629539 0.110416 0.175393 
12.539039 0.628013 0.111238 0.177128 
12.552953 0.626475 0.112064 0.178881 
12.566867 0.624926 0.112894 0.180651 
12.580781 0.623365 0.113727 0.182440 
12.594695 0.621793 0.114563 0.184247 
12.608609 0.620209 0.115404 0.186072 
12.622523 0.618614 0.116247 0.187916 
12.636436 0.617007 0.117095 0.189778 
12.650350 0.615389 0.117945 0.191660 
12.664264 0.613759 0.118799 0.193561 
12.678178 0.612116 0.119657 0.195481 
12.692092 0.610463 0.120518 0.197420 
12.706006 0.608797 0.121382 0.199380 
12.719920 0.607119 0.122249 0.201360 
12.733834 0.605430 0.123120 0.203360 
12.747748 0.603728 0.123994 0.205380 
12.761662 0.602014 0.124870 0.207421 
12.775576 0.600289 0.125750 0.209483 
12.789489 0.598551 0.126633 0.211566 
12.803403 0.596801 0.127519 0.213671 
12.817317 0.595039 0.128408 0.215797 
12.831231 0.593264 0.129299 0.217945 
12.845145 0.591477 0.130193 0.220116 
12.859059 0.589678 0.131090 0.222308 
12.872973 0.587867 0.131990 0.224524 
12.886887 0.586043 0.132892 0.226762 
12.900801 0.584207 0.133797 0.229023 
12.914715 0.582358 0.134704 0.231308 
12.928629 0.580497 0.135614 0.233617 
12.942543 0.578623 0.136526 0.235950 
12.956456 0.576737 0.137440 0.238306 
12.970370 0.574838 0.138356 0.240688 
12.984284 0.572926 0.139275 0.243094 
12.998198 0.571002 0.140196 0.245526 
13.012112 0.569065 0.141118 0.247983 
13.026026 0.567115 0.142043 0.250465 
13.039940 0.565153 0.142969 0.252974 
13.053854 0.563178 0.143897 0.255509 
13.067768 0.561190 0.144827 0.258071 
13.081682 0.559189 0.145758 0.260659 
13.095596 0.557176 0.146691 0.263275 
13.109510 0.555150 0.147625 0.265919 
13.123423 0.553110 0.148560 0.268591 
13.137337 0.551058 0.149497 0.271291 
13.151251 0.548993 0.150435 0.274020 
13.165165 0.546916 0.151374 0.276778 
13.179079 0.544825 0.152314 0.279565 
13.192993 0.542721 0.153255 0.282382 
13.206907 0.540604 0.154196 0.285230 
13.220821 0.538475 0.155139 0.288108 
13.234735 0.536332 0.156081 0.291016 
13.248649 0.534176 0.157025 0.293957 
13.262563 0.532008 0.157968 0.296929 
13.276476 0.529826 0.158912 0.299933 
13.290390 0.527632 0.159857 0.302970 
13.304304 0.525424 0.160801 0.306040 
13.318218 0.523203 0.161745 0.309143 
13.332132 0.520970 0.162689 0.312281 
13.346046 0.518723 0.163633 0.315453 
13.359960 0.516464 0.164576 0.318659 
13.373874 0.514191 0.165519 0.321901 
13.387788 0.511906 0.166461 0.325179 
13.401702 0.509608 0.167403 0.328493 
13.415616 0.507296 0.168343 0.331844 
13.429530 0.504972 0.169283 0.335233 
13.443443 0.502635 0.170222 0.338659 
13.457357 0.500285 0.171159 0.342123 
13.471271 0.497922 0.172095 0.345627 
13.485185 0.495546 0.173030 0.349170 
13.499099 0.493157 0.173963 0.352753 
13.513013 0.490755 0.174894 0.356377 
13.526927 0.488341 0.175823 0.360042 
13.540841 0.485914 0.176751 0.363749 
13.554755 0.483474 0.177676 0.367498 
13.568669 0.481021 0.178599 0.371291 
13.582583 0.478556 0.179519 0.375127 
13.596496 0.476078 0.180437 0.379008 
13.610410 0.473588 0.181353 0.382934 
13.624324 0.471084 0.182265 0.386906 
13.638238 0.468569 0.183175 0.390924 
13.652152 0.466041 0.184081 0.394990 
13.666066 0.463500 0.184984 0.399103 
13.679980 0.460947 0.185884 0.403265 
13.693894 0.458382 0.186780 0.407477 
13.707808 0.455804 0.187673 0.411740 
13.721722 0.453214 0.188561 0.416053 
13.735636 0.450612 0.189446 0.420418 
13.749550 0.447998 0.190326 0.424837 
13.763463 0.445372 0.191202 0.429309 
13.777377 0.442733 0.192073 0.433835 
13.791291 0.440083 0.192940 0.438418 
13.805205 0.437421 0.193802 0.443057 
13.819119 0.434747 0.194659 0.447753 
13.833033 0.432061 0.195511 0.452508 
13.846947 0.429363 0.196357 0.457322 
13.860861 0.426654 0.197198 0.462197 
13.874775 0.423934 0.198034 0.467134 
13.888689 0.421202 0.198863 0.472133 
13.902603 0.418458 0.199687 0.477197 
13.916517 0.415703 0.200504 0.482325 
13.930430 0.412937 0.201315 0.487520 
13.944344 0.410160 0.202120 0.492783 
13.958258 0.407372 0.202918 0.498114 
13.972172 0.404573 0.203709 0.503515 
13.986086 0.401763 0.204493 0.508988 
14.000000 0.398943 0.205270 0.514534 
