t Fq Fqsim h hest
12.300000 0.322579 0.354300 0.459922 0.375657 
12.400000 0.307846 0.341056 0.475062 0.386309 
12.500000 0.293337 0.327954 0.490573 0.397173 
12.600000 0.279073 0.315010 0.506461 0.408253 
12.700000 0.265076 0.302239 0.522731 0.419551 
12.800000 0.251367 0.289654 0.539391 0.431069 
12.900000 0.237966 0.277271 0.556445 0.442810 
13.000000 0.224890 0.265103 0.573901 0.454776 
13.100000 0.212158 0.253163 0.591765 0.466971 
13.200000 0.199786 0.241463 0.610042 0.479395 
13.300000 0.187787 0.230015 0.628739 0.492053 
13.400000 0.176176 0.218831 0.647863 0.504947 
13.500000 0.164963 0.207919 0.667419 0.518078 
13.600000 0.154159 0.197290 0.687416 0.531451 
13.700000 0.143771 0.186952 0.707858 0.545067 
13.800000 0.133807 0.176912 0.728753 0.558929 
13.900000 0.124270 0.167178 0.750107 0.573039 
14.000000 0.115164 0.157754 0.771926 0.587401 
14.100000 0.106491 0.148646 0.794219 0.602016 
14.200000 0.098249 0.139858 0.816991 0.616888 
14.300000 0.090436 0.131392 0.840249 0.632020 
14.400000 0.083049 0.123250 0.864000 0.647413 
14.500000 0.076083 0.115433 0.888251 0.663070 
14.600000 0.069531 0.107941 0.913009 0.678995 
14.700000 0.063384 0.100774 0.938281 0.695189 
14.800000 0.057633 0.093929 0.964075 0.711656 
14.900000 0.052268 0.087404 0.990396 0.728399 
15.000000 0.047276 0.081195 1.017253 0.745419 
