t Fq h
2.695195 0.873926 0.050000 
2.710110 0.873274 0.050000 
2.725025 0.872623 0.050000 
2.739940 0.871973 0.050000 
2.754855 0.871323 0.050000 
2.769770 0.870673 0.050000 
2.784685 0.870024 0.050000 
2.799600 0.869376 0.050000 
2.814515 0.868728 0.050000 
2.829429 0.868080 0.050000 
2.844344 0.867433 0.050000 
2.859259 0.866786 0.050000 
2.874174 0.866140 0.050000 
2.889089 0.865494 0.050000 
2.904004 0.864849 0.050000 
2.918919 0.864204 0.050000 
2.933834 0.863560 0.050000 
2.948749 0.862916 0.050000 
2.963664 0.862273 0.050000 
2.978579 0.861630 0.050000 
2.993493 0.860988 0.050000 
3.008408 0.860346 0.050000 
3.023323 0.859705 0.050000 
3.038238 0.859064 0.050000 
3.053153 0.858424 0.050000 
3.068068 0.857784 0.050000 
3.082983 0.857144 0.050000 
3.097898 0.856505 0.050000 
3.112813 0.855867 0.050000 
3.127728 0.855229 0.050000 
3.142643 0.854591 0.050000 
3.157558 0.853954 0.050000 
3.172472 0.853317 0.050000 
3.187387 0.852681 0.050000 
3.202302 0.852046 0.050000 
3.217217 0.851411 0.050000 
3.232132 0.850776 0.050000 
3.247047 0.850142 0.050000 
3.261962 0.849508 0.050000 
3.276877 0.848875 0.050000 
3.291792 0.848242 0.050000 
3.306707 0.847609 0.050000 
3.321622 0.846978 0.050000 
3.336537 0.846346 0.050000 
3.351451 0.845715 0.050000 
3.366366 0.845085 0.050000 
3.381281 0.844455 0.050000 
3.396196 0.843825 0.050000 
3.411111 0.843196 0.050000 
3.426026 0.842568 0.050000 
3.440941 0.841940 0.050000 
3.455856 0.841312 0.050000 
3.470771 0.840685 0.050000 
3.485686 0.840058 0.050000 
3.500601 0.839432 0.050000 
3.515516 0.838806 0.050000 
3.530430 0.838181 0.050000 
3.545345 0.837556 0.050000 
3.560260 0.836932 0.050000 
3.575175 0.836308 0.050000 
3.590090 0.835684 0.050000 
3.605005 0.835061 0.050000 
3.619920 0.834439 0.050000 
3.634835 0.833817 0.050000 
3.649750 0.833195 0.050000 
3.664665 0.832574 0.050000 
3.679580 0.831953 0.050000 
3.694494 0.831333 0.050000 
3.709409 0.830713 0.050000 
3.724324 0.830094 0.050000 
3.739239 0.829475 0.050000 
3.754154 0.828857 0.050000 
3.769069 0.828239 0.050000 
3.783984 0.827622 0.050000 
3.798899 0.827005 0.050000 
3.813814 0.826388 0.050000 
3.828729 0.825772 0.050000 
3.843644 0.825157 0.050000 
3.858559 0.824541 0.050000 
3.873473 0.823927 0.050000 
3.888388 0.823313 0.050000 
3.903303 0.822699 0.050000 
3.918218 0.822085 0.050000 
3.933133 0.821473 0.050000 
3.948048 0.820860 0.050000 
3.962963 0.820248 0.050000 
3.977878 0.819637 0.050000 
3.992793 0.819026 0.050000 
4.007708 0.818415 0.050000 
4.022623 0.817805 0.050000 
4.037538 0.817196 0.050000 
4.052452 0.816586 0.050000 
